title,built_date,bedrooms,district,unit_price,transaction_date,位置,经纬度
云帆雅苑,2007,l2,pudong,18326,2021.11.22,上海市浦东新区云帆雅苑,"121.814583,30.897663"
万祥馨苑,2008,l1,pudong,20857,2017.10.10,上海市浦东新区万祥馨苑,"121.817528,30.967752"
万祥馨苑,2006,l3,pudong,16172,2021.03.27,上海市浦东新区万祥馨苑,"121.817528,30.967752"
万祥馨苑,2006,l3,pudong,15534,2020.05.05,上海市浦东新区万祥馨苑,"121.817528,30.967752"
万祥馨苑,2006,l3,pudong,14928,2020.02.23,上海市浦东新区万祥馨苑,"121.817528,30.967752"
云帆佳苑,2007,l1,pudong,20774,2017.04.22,上海市浦东新区云帆佳苑,"121.818573,30.897730"
云帆佳苑,2007,l2,pudong,21603,2021.07.23,上海市浦东新区云帆佳苑,"121.818573,30.897730"
云帆佳苑,2007,l3,pudong,18167,2020.11.16,上海市浦东新区云帆佳苑,"121.818573,30.897730"
云帆佳苑,2007,l3,pudong,16030,2020.01.19,上海市浦东新区云帆佳苑,"121.818573,30.897730"
云锦丽苑,2006,l2,pudong,20429,2021.11.15,上海市浦东新区云锦丽苑,"121.826935,30.899395"
云锦丽苑,2006,l2,pudong,20056,2021.10.10,上海市浦东新区云锦丽苑,"121.826935,30.899395"
凯德新视界(一期),2015,l2,pudong,22239,2021.10.28,上海市浦东新区凯德新视界,"121.808937,30.961933"
凯德新视界(一期),2015,l3,pudong,20000,2020.04.22,上海市浦东新区凯德新视界,"121.808937,30.961933"
云树仁居,2008,l2,pudong,21043,2021.10.26,上海市浦东新区云树仁居,"121.801361,30.898569"
云树仁居,2008,l2,pudong,22633,2021.06.21,上海市浦东新区云树仁居,"121.801361,30.898569"
